,gender,name,id,known_for_department,popularity
nm0169902,2,Harry Cohn,29341,Production,0.694
nm0000050,2,Groucho Marx,10798,Acting,1.404
nm0555617,2,Harpo Marx,10800,Acting,1.411
nm0555597,2,Chico Marx,10799,Acting,1.646
nm0572851,2,Norman Z. McLeod,82389,Directing,1.534
nm0673279,0,S.J. Perelman,144066,Writing,1.4
nm0426953,0,Will B. Johnstone,144068,Writing,0.6
nm0790654,0,Arthur Sheekman,30010,Writing,1.4
nm0790383,2,Al Shean,1027241,Acting,1.052
nm0679553,2,Friedrich Pflughaupt,2109903,Production,0.6
nm0927236,0,Dorothea Wieck,28075,Acting,1.4
nm0007229,1,Hertha Thiele,11635,Acting,1.22
nm0880946,0,Emilia Unda,47313,Acting,1.138
nm0755985,1,Leontine Sagan,58343,Acting,0.98
nm0296193,2,Carl Froelich,29110,Directing,1.614
nm0935475,0,Christa Winsloe,58345,Writing,0.6
nm0198887,0,Friedrich Dammann,40986,Writing,0.652
nm0171372,1,Colette,1083845,Writing,0.6
nm0567515,2,Edward M. McDermott,128356,Editing,0.6
nm0920074,2,William A. Wellman,14643,Directing,1.336
nm0673948,1,Grace Perkins,1129957,Writing,0.6
nm0448981,2,Charles Kenyon,81166,Writing,1.012
nm0569222,2,Barney McGill,96052,Camera,1.38
nm0936728,2,Grant Withers,30292,Acting,1.67
nm0000802,1,Mary Astor,13992,Acting,2.818
nm0867538,2,Regis Toomey,22093,Acting,1.793
nm0920465,0,William K. Wells,1163383,Writing,0.766
nm0519227,2,Walter Long,100245,Acting,1.708
nm0491048,2,Stan Laurel,89670,Acting,3.227
nm0001316,2,Oliver Hardy,78057,Acting,1.66
nm0549293,1,June Marlowe,131385,Acting,0.98
nm0524306,2,Wilfred Lucas,30201,Acting,1.178
nm0663613,2,James Parrott,140815,Directing,2.744
nm0907778,2,H.M. Walker,131383,Writing,2.588
nm0828452,2,Jack Stevens,1347774,Camera,0.6
nm0193015,2,Richard C. Currier,131389,Editing,1.4
nm0278006,2,James Finlayson,131386,Acting,1.442
nm0505164,2,William LeVanway,1098542,Editing,0.6
nm0000036,2,Buster Keaton,8635,Acting,2.682
nm0339307,1,Charlotte Greenwood,129521,Acting,1.442
nm0219666,2,Reginald Denny,3364,Acting,1.566
nm0781292,2,Edward Sedgwick,122969,Directing,2.188
nm0841608,2,Mark Swan,1064911,Writing,0.6
nm0394267,2,Robert E. Hopkins,148516,Writing,0.694
nm0809079,2,Leonard Smith,14864,Camera,0.648
nm0644697,2,Jack Ogilvie,986278,Editing,0.84
nm0832011,2,Lewis Stone,29259,Acting,1.4
nm0380965,2,Jean Hersholt,32138,Acting,2.69
nm0731910,2,John S. Robertson,29571,Directing,1.4
nm0503693,2,Gaston Leroux,14474,Writing,1.4
nm0562372,2,Edwin Justus Mayer,2489,Writing,1.216
nm0001318,1,Jean Harlow,82315,Acting,1.561
nm0949835,1,Loretta Young,85848,Acting,1.913
nm0931551,2,Robert Williams,96534,Acting,0.98
nm0387561,2,Halliwell Hobbes,29601,Acting,1.672
nm0151310,0,Harry Chandlee,107778,Writing,1.4
nm0161428,0,Douglas W. Churchill,1125828,Writing,1.4
nm0285922,2,Wallace Ford,35849,Acting,2.103
nm0302480,2,"Richard ""Skeets"" Gallagher",145839,Acting,1.4
nm0783629,2,Edgar Selwyn,253544,Writing,2.084
nm0168829,1,Lenore J. Coffee,84237,Writing,1.4
nm0626308,2,Conrad A. Nervig,42065,Editing,0.994
nm0599910,2,Robert Montgomery,19406,Acting,2.823
nm0291548,2,Sidney Franklin,42060,Directing,1.4
nm0002021,2,Noël Coward,12718,Writing,1.383
nm0770337,2,Richard Schayer,42064,Writing,1.048
nm0082915,2,Ray Binger,1354554,Crew,0.6
nm0940589,2,Edward Woods,82316,Acting,0
nm0222354,2,Devereaux Jennings,14411,Camera,0.6
nm0548929,2,Owen Marks,2761,Editing,0.6
nm0533108,1,Dorothy Mackaill,595213,Acting,1.582
nm0007219,0,Donald Cook,97775,Acting,1.052
nm0363753,2,Ralf Harolde,101886,Acting,1.543
nm0942046,2,John Wray,2009,Acting,1.708
nm0104355,0,Houston Branch,235355,Writing,1.4
nm0413711,2,Joseph Jackson,128357,Writing,0.6
nm0403636,2,Paul Hurst,14664,Acting,1.601
nm0384276,0,George W. Hill,29963,Directing,1.4
nm0921098,2,Harold Wenstrom,138221,Camera,0.6
nm0786568,1,Blanche Sewell,9058,Editing,1.094
nm0708081,1,Marjorie Rambeau,83235,Acting,1.569
nm0358076,2,Neil Hamilton,27733,Acting,1.306
nm0001870,2,Robert Young,14868,Acting,1.863
nm0461241,0,Edward Knoblock,1159655,Writing,0.98
nm0374934,2,Tom Held,1067439,Editing,0.6
nm0550215,0,Rene Marrison,553480,Editing,0
nm0350324,2,Edmund Gwenn,22600,Acting,1.4
nm0260728,1,Jill Esmond,122910,Acting,1.4
nm0289795,2,C. V. France,47667,Acting,0.728
nm0370848,1,Helen Haye,3674,Acting,1.4
nm0000033,2,Alfred Hitchcock,2636,Directing,6.173
nm0303335,0,John Galsworthy,127022,Writing,0.982
nm0720904,1,Alma Reville,3681,Writing,1.092
nm0185055,2,Jack E. Cox,7386,Camera,0.994
nm0591791,2,Sam Mintz,1206239,Writing,0.648
nm0176851,2,Robert Coogan,596378,Acting,0.652
nm0338191,0,Mitzi Green,1238790,Acting,0.6
nm0780684,2,Jackie Searl,103622,Acting,1.708
nm0851537,2,Norman Taurog,82800,Directing,1.736
nm0189034,2,Percy Crosby,930689,Writing,0.6
nm0000581,2,Joseph L. Mankiewicz,10601,Writing,2.275
nm0460477,1,Evalyn Knapp,103500,Acting,1.048
nm0337586,2,Alfred E. Green,97774,Directing,1.27
nm0094135,1,Beulah Bondi,17755,Acting,1.553
nm0723418,2,Elmer Rice,148854,Writing,0.98
nm0071796,0,Hugh Bennett,1008599,Editing,1.4
nm0001256,1,Greta Garbo,19549,Acting,2.226
nm0587534,2,John Miljan,90000,Acting,1.4
nm0075960,2,Paul Bern,319923,Writing,1.38
nm0186118,1,Mildred Cram,70258,Writing,1.62
nm0000858,2,John Barrymore,29578,Acting,1.556
nm0187981,2,Donald Crisp,8841,Acting,2.32
nm0281955,2,Bramwell Fletcher,1234783,Acting,0.73
nm0238900,2,George du Maurier,1125694,Writing,0.6
nm0018470,0,J. Grubb Alexander,932645,Writing,1.4
nm0005677,2,Floyd Crosby,4083,Camera,1.38
nm0156617,1,Anne Chevalier,14583,Acting,0.6
nm0558038,0,Matahi,14582,Acting,0.6
nm0386979,0,Hitu,14585,Acting,0.6
nm0051447,0,Bill Bambridge,14584,Directing,0.6
nm0003638,2,F.W. Murnau,9076,Directing,1.742
nm0280904,2,Robert J. Flaherty,10092,Directing,0.6
nm0880618,2,Edgar G. Ulmer,5030,Directing,1.4
nm0006252,2,Hugo Riesenfeld,9079,Sound,0.6
nm0366414,2,Lorenz Hart,1369419,Writing,0.6
nm0087434,0,Sally Blane,97283,Acting,1.052
nm0125636,2,Edward Buzzell,77101,Directing,1.4
nm0397963,1,Dorothy Howell,1015918,Writing,0.652
nm0006256,2,Richard Rodgers,931310,Sound,0.652
nm0645438,0,Tokihiko Okada,590249,Acting,0.972
nm0944941,0,Emiko Yagumo,1055742,Acting,0.6
nm0837424,0,Hideo Sugawara,1092896,Acting,0.84
nm0847301,1,Hideko Takamine,213504,Acting,2.285
nm0654868,2,Yasujirō Ozu,95501,Directing,3.658
nm0457560,0,Komatsu Kitamura,1092894,Writing,0.6
nm0633792,2,Kōgo Noda,131010,Writing,2.145
nm0595954,0,Hideo Shigehara,1092895,Camera,0.84
nm0002048,2,Melvyn Douglas,19550,Acting,1.294
nm0804375,1,Alison Skipworth,131234,Acting,1.4
nm0332036,2,Ferdinand Gottschalk,89744,Acting,1.905
nm0369093,0,Lily Hatvany,1368044,Writing,0.6
nm0401738,2,Cyril Hume,12303,Writing,1.798
nm0002503,2,Harry Carey,30212,Acting,0.84
nm0095693,1,Edwina Booth,930692,Acting,0.694
nm0719121,0,Duncan Renaldo,144387,Acting,1.4
nm0648448,0,Mutia Omoolu,739674,Acting,0.6
nm0886754,2,W.S. Van Dyke,32427,Directing,1.686
nm0507180,0,Ethelreda Lewis,930691,Writing,0.6
nm0886861,0,Dale Van Every,33247,Writing,1.13
nm0627454,2,John T. Neville,102011,Writing,1.532
nm0249186,2,Arthur Edeson,2005,Camera,1.048
nm0515967,1,Doris Lloyd,21878,Acting,1.4
nm0449694,2,Frederick Kerr,29816,Acting,1.411
nm0792845,2,Robert E. Sherwood,3386,Writing,1.4
nm0506349,2,Benn W. Levy,7379,Writing,0.6
