,tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac,bechdel
2724,tt0052782,Ercole e la regina di Lidia,1959.0,98.0,"Adventure,Fantasy",4.5,1832.0,2.0,0.0,0.0,2.0,2.0,0.0,0.5,0.0,0.0,6.0,0.3333333333333333,0.6666666666666666,No info
2725,tt0052786,Violent Summer,1959.0,98.0,"Drama,Romance,War",7.5,1115.0,2.0,1.0,0.0,2.0,1.0,2.0,0.5,0.5,0.0,8.0,0.375,0.625,No info
2726,tt0052792,The FBI Story,1959.0,149.0,"Crime,Drama,History",6.6,2820.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2727,tt0052805,First Man Into Space,1959.0,77.0,"Drama,Horror,Sci-Fi",5.5,1115.0,1.0,0.0,0.0,3.0,2.0,1.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2728,tt0052809,The Five Pennies,1959.0,117.0,"Biography,Drama,Music",7.2,1540.0,1.0,0.0,0.0,3.0,2.0,2.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2729,tt0052810,Fever Mounts at El Pao,1959.0,97.0,Drama,6.9,1074.0,1.0,0.0,0.0,3.0,3.0,0.0,0.25,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571,No info
2730,tt0052811,The Flesh and the Fiends,1960.0,94.0,"Crime,Drama,Horror",7.0,1421.0,1.0,0.0,0.0,3.0,3.0,1.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
2731,tt0052832,The Fugitive Kind,1960.0,119.0,"Drama,Romance",7.2,5266.0,3.0,0.0,0.0,1.0,5.0,1.0,0.75,0.0,0.0,10.0,0.3,0.7,No info
2732,tt0052837,The Gazebo,1959.0,100.0,"Comedy,Crime,Thriller",6.8,1559.0,1.0,0.0,0.0,3.0,4.0,1.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2733,tt0052846,The Giant Gila Monster,1959.0,74.0,"Horror,Sci-Fi,Thriller",3.5,3327.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2734,tt0052847,Gidget,1959.0,95.0,Comedy,6.7,2918.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888,No info
2735,tt0052861,The Great War,1959.0,137.0,"Comedy,Drama,War",8.2,3554.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,0.0,0.0,9.0,0.0,1.0,failed: women did not talk to each other
2736,tt0052862,The St. Louis Bank Robbery,1959.0,89.0,"Crime,Drama,Thriller",5.9,1184.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,No info
2737,tt0052864,Green Mansions,1959.0,104.0,"Adventure,Drama,Romance",5.5,1981.0,1.0,1.0,0.0,3.0,3.0,2.0,0.25,0.25,0.0,10.0,0.2,0.8,No info
2738,tt0052876,The Hanging Tree,1959.0,107.0,Western,7.1,3428.0,1.0,0.0,0.0,3.0,4.0,0.0,0.25,0.0,0.0,8.0,0.125,0.875,No info
