tconst,primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,f_acting,f_creative,f_crew,m_acting,m_creative,m_crew,f_acting_frac,f_creative_frac,f_crew_frac,total_ppl,f_frac,m_frac
tt0181689,Minority Report,2002.0,145.0,"Action,Crime,Mystery",7.6,489524.0,1.0,1.0,0.0,3.0,5.0,0.0,0.25,0.16666666666666666,0.0,10.0,0.2,0.8
tt0181739,Osmosis Jones,2001.0,95.0,"Action,Adventure,Animation",6.3,31178.0,1.0,0.0,0.0,3.0,5.0,0.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
tt0181852,Terminator 3: Rise of the Machines,2003.0,109.0,"Action,Sci-Fi",6.3,367005.0,2.0,1.0,0.0,2.0,3.0,0.0,0.5,0.25,0.0,8.0,0.375,0.625
tt0181865,Traffic,2000.0,147.0,"Crime,Drama,Thriller",7.6,190806.0,1.0,1.0,0.0,3.0,5.0,0.0,0.25,0.16666666666666666,0.0,10.0,0.2,0.8
tt0181875,Almost Famous,2000.0,122.0,"Adventure,Comedy,Drama",7.9,242997.0,2.0,0.0,1.0,2.0,2.0,3.0,0.5,0.0,0.25,10.0,0.3,0.7
tt0181960,After the Rain,1999.0,91.0,Drama,7.7,3677.0,2.0,0.0,0.0,2.0,4.0,1.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0181984,Boiler Room,2000.0,120.0,"Crime,Drama,Thriller",7.0,47784.0,1.0,2.0,0.0,3.0,1.0,2.0,0.25,0.6666666666666666,0.0,9.0,0.3333333333333333,0.6666666666666666
tt0182000,The Caveman's Valentine,2001.0,105.0,"Crime,Drama,Music",5.8,6214.0,1.0,1.0,0.0,3.0,5.0,0.0,0.25,0.16666666666666666,0.0,10.0,0.2,0.8
tt0182060,The Man Who Saved the World,1982.0,91.0,"Action,Adventure,Sci-Fi",4.5,7134.0,1.0,0.0,0.0,3.0,3.0,2.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
tt0182295,Love's Labour's Lost,2000.0,93.0,"Comedy,Musical,Romance",6.0,4262.0,2.0,0.0,0.0,2.0,2.0,3.0,0.5,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0182503,Turist Ömer Uzay Yolu'nda,1973.0,72.0,"Comedy,Sci-Fi",7.4,3112.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,1.0
tt0182730,I arhontissa ki o alitis,1968.0,109.0,"Comedy,Musical,Romance",5.5,999.0,2.0,0.0,0.0,3.0,2.0,2.0,0.4,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0182764,Battal Gazi'nin Oglu,1974.0,70.0,"Action,Drama,History",6.1,1282.0,2.0,0.0,0.0,4.0,2.0,1.0,0.3333333333333333,0.0,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0182765,Battal Gazi Destani,1971.0,97.0,"Action,Adventure,History",6.4,1383.0,1.0,1.0,0.0,3.0,3.0,0.0,0.25,0.25,0.0,8.0,0.25,0.75
tt0182789,Bicentennial Man,1999.0,132.0,"Comedy,Drama,Sci-Fi",6.9,106627.0,1.0,1.0,0.0,3.0,4.0,0.0,0.25,0.2,0.0,9.0,0.2222222222222222,0.7777777777777778
tt0182916,Gol Krali,1981.0,81.0,"Action,Comedy,Romance",7.0,3090.0,1.0,0.0,0.0,1.0,4.0,1.0,0.5,0.0,0.0,7.0,0.14285714285714285,0.8571428571428571
tt0182996,Don't Go in the Woods,1981.0,82.0,"Horror,Thriller",3.8,2512.0,2.0,0.0,0.0,1.0,0.0,0.0,0.6666666666666666,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333
tt0183338,Kara Murat: Fatih'in Fermani,1973.0,88.0,"Action,Adventure,Fantasy",6.2,1065.0,2.0,0.0,0.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,5.0,0.4,0.6
tt0183505,"Me, Myself & Irene",2000.0,116.0,Comedy,6.6,216295.0,1.0,0.0,0.0,3.0,4.0,0.0,0.25,0.0,0.0,8.0,0.125,0.875
tt0183523,Mission to Mars,2000.0,114.0,"Adventure,Sci-Fi,Thriller",5.7,68703.0,1.0,0.0,0.0,3.0,5.0,0.0,0.25,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
tt0183570,I Neraida Kai to Palikari,1969.0,102.0,"Comedy,Romance",6.0,1095.0,1.0,0.0,0.0,4.0,2.0,2.0,0.2,0.0,0.0,9.0,0.1111111111111111,0.8888888888888888
