tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0362387,2LDK,2LDK,2003.0,70.0,"Drama,Horror,Thriller",nm1066739,"nm1503355,nm1066739",6.9,3344.0
tt0362478,The Box,The Box,2009.0,115.0,"Drama,Fantasy,Mystery",nm0446819,"nm0446819,nm0558577",5.6,87207.0
tt0362511,Dorm Daze,Dorm Daze,2003.0,96.0,"Comedy,Crime,Mystery","nm0384863,nm0384862","nm1352459,nm1351254",4.6,7527.0
tt0362526,Criminal,Criminal,2004.0,87.0,"Comedy,Crime,Drama",nm0414423,"nm0081433,nm0414423,nm0001752",6.4,9859.0
tt0362590,Employee of the Month,Employee of the Month,2004.0,97.0,"Comedy,Drama",nm0745861,"nm0745861,nm0499343",6.2,9290.0
tt0362771,Ishq Vishk,Ishq Vishk,2003.0,134.0,"Comedy,Romance",nm1264481,"nm1264481,nm1375524,nm1199935",6.0,3714.0
tt0363163,Downfall,Der Untergang,2004.0,156.0,"Biography,Drama,History",nm0386570,"nm0251536,nm0275264,nm0432622,nm0612199",8.2,318867.0
tt0363226,The Blind Swordsman: Zatoichi,Zatôichi,2003.0,116.0,"Action,Comedy,Crime",nm0001429,"nm0001429,nm0793753",7.5,45963.0
tt0363276,Madhouse,Madhouse,2004.0,91.0,"Horror,Thriller",nm0124834,"nm0124834,nm0835075",5.5,6068.0
tt0363282,New York Minute,New York Minute,2004.0,91.0,"Comedy,Crime,Family",nm0330140,"nm1428524,nm0177836,nm0171651",5.0,21080.0
tt0363473,Beyond the Sea,Beyond the Sea,2004.0,118.0,"Biography,Drama,Music",nm0000228,"nm0000228,nm0171474",6.7,14245.0
tt0363532,Intimate Strangers,Confidences trop intimes,2004.0,104.0,"Drama,Romance,Thriller",nm0496312,"nm0867374,nm0496312",7.0,4638.0
tt0363547,Dawn of the Dead,Dawn of the Dead,2004.0,101.0,"Action,Horror",nm0811583,"nm0001681,nm0348181",7.3,227600.0
tt0363589,Elephant,Elephant,2003.0,81.0,"Crime,Drama,Thriller",nm0001814,nm0001814,7.2,83160.0
tt0363771,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005.0,143.0,"Adventure,Family,Fantasy",nm0011470,"nm0668754,nm0011470,nm1321655,nm1321656,nm0507000",6.9,353606.0
tt0363780,Lymelife,Lymelife,2008.0,95.0,"Comedy,Drama,Romance",nm0553796,"nm0553796,nm0553855",6.9,13565.0
tt0363988,Secret Window,Secret Window,2004.0,96.0,"Drama,Mystery,Thriller",nm0462895,"nm0000175,nm0462895",6.6,176121.0
tt0364045,Taking Lives,Taking Lives,2004.0,103.0,"Crime,Mystery,Thriller",nm0142286,"nm1373865,nm0092578",6.2,77792.0
tt0364343,The Final Cut,The Final Cut,2004.0,95.0,"Drama,Sci-Fi,Thriller",nm0619715,nm0619715,6.2,30411.0
tt0364376,The Gingerdead Man,The Gingerdead Man,2005.0,70.0,"Comedy,Fantasy,Horror",nm0023929,"nm0124834,nm0611344",3.4,3388.0
tt0364385,Ju-on: The Grudge,Ju-on,2002.0,92.0,Horror,nm1234345,nm1234345,6.7,39357.0
tt0364517,Love Me If You Dare,Jeux d'enfants,2003.0,93.0,"Comedy,Drama,Romance",nm1367933,nm1367933,7.6,65549.0
